country_code,postal_code,place_name,admin_name1,admin_code1,admin_name2,admin_code2,admin_name3,admin_code3,latitude,longitude,accuracy,alternative_city_name
DE,70369,Deutsche Telekom AG Niederlassung 2 Stuttgart,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.8023,9.2236,,
DE,70369,BKK der Deutschen Post AG Bezirksverwaltung Stuttgart,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.8014,9.224,,
DE,70369,Deutsche Telekom AG Niederlassung 1 Stuttgart,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.8016,9.2242,,
DE,70369,Mahle GmbH,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.8067,9.2089,,
DE,70429,Deutsche Rentenversicherung Baden Württemberg,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.8425,9.2123,,
DE,70431,ADP Employer Services GmbH,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.8383,9.1889,,
DE,70432,Wolff Müller Holding GmbH Co KG Serviceeinheiten,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.8329,9.1545,,
DE,70432,Dürr Systems GmbH,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.8328,9.1419,,
DE,70432,Volksbank Zuffenhausen eG,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.8324,9.1699,,
DE,70432,LTG Holding GmbH Co KG,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.8249,9.1699,,
DE,70464,Robert Bosch GmbH,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.8172,9.1656,,
DE,70465,Robert Bosch GmbH Renningen,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Landkreis Böblingen,8115.0,48.7755,8.9045,,
DE,70466,Coperion GmbH Stuttgart,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.8223,9.1675,,
DE,70466,Flint Group Germany GmbH,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.814,9.1741,,
DE,70466,LEITZ ACCO Brands GmbH Co KG,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.8118,9.1739,,
DE,70466,Bosch Betriebskrankenkasse,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.8158,9.1721,,
DE,70466,Bundesanstalt für Post und Telekommunikation,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.8114,9.1775,,
DE,70466,AKAD Akademikergesellschaft für Erwachsenenfortbildung mbH,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.8095,9.1772,,
DE,70466,Hahn Kolb Werkzeuge GmbH,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.8186,9.1739,,
DE,70467,Postbeamtenkrankenkasse,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.8023,9.2236,,
DE,70494,R V Versicherung,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.8215,9.0958,,
DE,70496,ERIKS Deutschland GmbH Regional Center Stuttgart,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.8208,9.0915,,
DE,70496,M W Zander Produkts GmbH,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.8247,9.101,,
DE,70496,ZIMA S Zimmermann GmbH,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.8247,9.101,,
DE,70496,S Zimmermann GmbH,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.8247,9.101,,
DE,70537,ENBW Energie Baden Württemberg AG Infrastruktur Standort Stuttgart,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.7119,9.1679,,
DE,70538,Robert Bosch Power Tools GmbH,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Landkreis Esslingen,8116.0,48.6972,9.1435,,
DE,70539,DEKRA Automobil GmbH,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.7202,9.1298,,
DE,70545,mobilcom debitel AG,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.7387,9.1115,,
DE,70546,Daimler AG,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.7239,9.1699,,
DE,70547,Deutsche Sparkassen Verlag GmbH,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.725,9.1234,,
DE,70547,Deutscher Sparkassen Verlag GmbH,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.725,9.1234,,
DE,70547,S Communication Service GmbH,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.725,9.1234,,
DE,70549,W Kohlhammer GmbH,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.7225,9.1193,,
DE,70550,Universität Stuttgart,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.7451,9.1044,,
DE,70551,Süddeutsche Metall Berufsgenossenschaft,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.7269,9.1101,,
DE,70551,Fraunhofer Gesellschaft,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.7405,9.0996,,
DE,70551,Richard Boorberg Verlag GmbH Co KG,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.7287,9.1158,,
DE,70552,Volksfürsorge Schadenzentrum,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.7764,9.1629,,
DE,70556,Generali Schadenbüro,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.7764,9.1629,,
DE,70560,Deutsche Bibelgesellschaft,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.7299,9.1423,,
DE,70560,Hansa Metallwerke AG,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.731,9.1557,,
DE,70593,Universität Hohenheim,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.7119,9.2141,,
DE,70594,Eugen Ulmer KG,Baden Württemberg,01,Regierungsbezirk Stuttgart,81.0,Stadtkreis Stuttgart,8111.0,48.71,9.1993,,
